Shape,Color,Clarity,Weight,Lab,Cut,Polish,Symmetry,Fluor,Off Rap,Price Per Carat,Total Price,Certificate No,Length,Width,Depth,Table,Girdle,Culet,Certificate Url,Video
ROUND,J,VS1,0.41,IGI,IDEAL,EXCELLENT,EXCELLENT,,-66.84,629.99,258.30,LG375922984,4.74,4.79,2.98,57.5,MEDIUM TO SLIGHTLY THICK (FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG375922984.pdf,https://s3.amazonaws.com/lgdvideos/LG375922984.mp4
ROUND,J,VS2,0.41,IGI,EXCELLENT,VERY GOOD,VERY GOOD,,-65.00,630.00,258.30,LG214671773,4.74,4.76,2.98,57.0,MEDIUM,POINTED,https://s3.amazonaws.com/lgdcertificates/LG214671773.pdf,https://s3.amazonaws.com/lgdvideos/LG214671773.mp4
ROUND,J,VVS2,0.4,IGI,IDEAL,EXCELLENT,EXCELLENT,,-67.00,660.00,264.00,LG250674878,4.75,4.79,2.93,57.0,MEDIUM (FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG250674878.pdf,https://s3.amazonaws.com/lgdvideos/LG250674878.mp4
ROUND,J,VVS2,0.4,IGI,IDEAL,EXCELLENT,EXCELLENT,,-67.00,660.00,264.00,LG257732013,4.71,4.74,2.93,57.0,MEDIUM (PARTLY FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG257732013.pdf,https://s3.amazonaws.com/lgdvideos/LG257732013.mp4
ROUND,J,VVS2,0.4,IGI,IDEAL,EXCELLENT,EXCELLENT,,-67.00,660.00,264.00,LG257732014,4.76,4.8,2.93,57.0,MEDIUM,POINTED,https://s3.amazonaws.com/lgdcertificates/LG257732014.pdf,https://s3.amazonaws.com/lgdvideos/LG257732014.mp4
ROUND,J,SI1,0.44,IGI,EXCELLENT,EXCELLENT,VERY GOOD,,-65.00,595.00,261.80,LG257730453,4.86,4.89,3.06,57.0,MEDIUM (PARTLY FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG257730453.pdf,https://s3.amazonaws.com/lgdvideos/LG257730453.mp4
PRINCESS,L,VVS2,0.58,IGI,VERY GOOD,EXCELLENT,VERY GOOD,,-66.79,465.01,269.71,LG10229818,4.65,4.63,3.18,70.5,SLIGHTLY THICK TO THICK,            ,https://s3.amazonaws.com/lgdcertificates/LG10229818.pdf,            
ROUND,J,VVS2,0.41,IGI,IDEAL,EXCELLENT,EXCELLENT,,-67.00,660.00,270.60,LG257732018,4.76,4.78,2.94,58.0,MEDIUM (FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG257732018.pdf,https://s3.amazonaws.com/lgdvideos/LG257732018.mp4
ROUND,J,VS1,0.43,IGI,IDEAL,EXCELLENT,EXCELLENT,,-66.84,629.99,270.90,LG250604602,4.84,4.86,2.98,56.5,MEDIUM TO SLIGHTLY THICK (FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG250604602.pdf,https://s3.amazonaws.com/lgdvideos/LG250604602.mp4
ROUND,J,VS1,0.43,IGI,IDEAL,EXCELLENT,VERY GOOD,,-66.84,629.99,270.90,LG250604533,4.86,4.92,2.98,58.0,THIN TO MEDIUM (PARTLY FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG250604533.pdf,https://s3.amazonaws.com/lgdvideos/LG250604533.mp4
